pcstrip,Year,NUMBER_OF_PATIENTS,SHA,PCT,oseast1m,osnrth1m,lsoa11,msoa11,ru11ind,rgn,laua,imd,loneliness_zscore
B111TX,2016,1545.75,Q54,04X,409355,284584,E01009372,E02001908,A1,E12000005,E08000025,50,-2.456861412
B113ND,2016,1703.166667,Q54,04X,409762,283925,E01033641,E02006901,A1,E12000005,E08000025,54,-2.876236292
B114AN,2016,4306.25,Q54,13P,409301,283747,E01033643,E02001908,A1,E12000005,E08000025,-6,-1.732724944
B114BW,2016,5649.75,Q54,04X,409705,282964,E01009393,E02006901,A1,E12000005,E08000025,24,-2.804037428
B114DG,2016,1040.666667,Q54,04X,409638,283008,E01009393,E02006901,A1,E12000005,E08000025,24,-1.716571072
B114RA,2016,875.5,Q54,04X,409098,284337,E01009396,E02001908,A1,E12000005,E08000025,-32,-1.412066536
B120UF,2016,2140.25,Q54,04X,407660,285144,E01009362,E02001897,A1,E12000005,E08000025,-107,-1.625290211
B120YA,2016,1272.166667,Q54,04X,407743,285164,E01009362,E02001897,A1,E12000005,E08000025,-107,-2.365663963
B128HE,2016,690,Q54,05L,408601,284079,E01009397,E02001903,A1,E12000005,E08000025,-102,-0.040914397
B128QE,2016,3449.916667,Q54,05L,408277,283815,E01033648,E02001910,A1,E12000005,E08000025,-84,-1.624095996
B129LP,2016,4872.916667,Q54,04X,407720,284385,E01009374,E02001910,A1,E12000005,E08000025,-5,-2.181047867
B129RR,2016,1382.416667,Q54,04X,407398,283993,E01009182,E02001918,A1,E12000005,E08000025,-31,-1.231931906
B130HN,2016,2625.666667,Q54,13P,408866,281169,E01008932,E02001937,A1,E12000005,E08000025,-72,-1.074346964
B138JS,2016,930.25,Q54,13P,407588,283172,E01009184,E02001918,A1,E12000005,E08000025,109,-0.239502108
B138QS,2016,1209.5,Q54,04X,406179,282249,E01009186,E02001914,A1,E12000005,E08000025,-110,-1.973501387
B139HD,2016,3262.416667,Q54,13P,408025,283133,E01009385,E02001918,A1,E12000005,E08000025,-23,0.001923562
B139LH,2016,1136.083333,Q54,04X,409254,282699,E01009395,E02001923,A1,E12000005,E08000025,-68,-1.881874455
B13AL,2016,2178.083333,Q54,05L,405860,287514,E01033619,E02006898,A1,E12000005,E08000025,-124,-0.18130869
B144DU,2016,3186.083333,Q54,13P,409675,280082,E01008937,E02001941,A1,E12000005,E08000025,-20,-1.005986724
B144JU,2016,2380.5,Q54,13P,409072,279668,E01008939,E02001937,A1,E12000005,E08000025,-42,-1.159265719
B145DJ,2016,1773.25,Q54,04X,407939,279088,E01008947,E02001948,A1,E12000005,E08000025,-17,0.313502
B145NG,2016,709.75,Q54,04X,407738,278608,E01008978,E02001947,A1,E12000005,E08000025,38,1.482302275
B145SB,2016,1654.333333,Q54,04X,406977,278593,E01008980,E02001947,A1,E12000005,E08000025,-58,0.441781631
B146AA,2016,3718.333333,Q54,04X,407372,281038,E01008981,E02001936,A1,E12000005,E08000025,-52,-1.021168886
B147AG,2016,1568.5,Q54,13P,407553,282043,E01009178,E02001930,A1,E12000005,E08000025,-32,-1.943172868
B147NH,2016,729.75,Q54,04X,406442,281072,E01008963,E02001933,A1,E12000005,E08000025,-92,-1.542469993
B151LZ,2016,4723.083333,Q54,04X,406314,286081,E01033624,E02006895,A1,E12000005,E08000025,72,-1.083016599
B152QU,2016,6458.5,Q54,13P,404311,284212,E01008992,E02001905,A1,E12000005,E08000025,-103,-1.471589234
B160HH,2016,636.0833333,Q54,05L,404022,287517,E01009152,E02001879,A1,E12000005,E08000025,12,2.011788688
B160HZ,2016,1432.25,Q54,05L,403903,287549,E01009152,E02001879,A1,E12000005,E08000025,12,-2.124287089
B160LU,2016,1569.25,Q54,05L,403691,287139,E01009140,E02001886,A1,E12000005,E08000025,125,0.285993037
B168HA,2016,1437.916667,Q54,05L,405400,286352,E01033639,E02006897,A1,E12000005,E08000025,7,-0.861753568
B169AL,2016,4414.083333,Q54,04X,404739,286301,E01008987,E02001890,A1,E12000005,E08000025,127,-1.201695811
B170HG,2016,3549.666667,Q54,04X,403747,284516,E01009069,E02001901,A1,E12000005,E08000025,6,-1.946543644
B178DP,2016,4317,Q54,13P,402853,286214,E01009147,E02001886,A1,E12000005,E08000025,-101,-0.482754193
B178LG,2016,482.9166667,Q54,05L,402936,286530,E01009147,E02001886,A1,E12000005,E08000025,-101,0.27955188
B179DB,2016,8217,Q54,13P,402732,284568,E01009072,E02001901,A1,E12000005,E08000025,-47,-0.707109946
B187AL,2016,5182.833333,Q54,05L,404351,287754,E01009345,E02001879,A1,E12000005,E08000025,98,-2.313858122
B187BA,2016,1148.083333,Q54,05L,405252,287211,E01009141,E02006898,A1,E12000005,E08000025,51,0.100440918
B191BP,2016,2485.333333,Q54,05L,405497,289254,E01009355,E02001865,A1,E12000005,E08000025,39,0.407784973
B191HL,2016,2536.75,Q54,05L,406200,289831,E01009047,E02001866,A1,E12000005,E08000025,45,-0.485171802
B191HS,2016,1366.75,Q54,05L,406174,289545,E01009047,E02001866,A1,E12000005,E08000025,45,-1.683874609
B191TT,2016,1143.25,Q54,05L,406181,289372,E01008905,E02001866,A1,E12000005,E08000025,63,0.763362962
B192JA,2016,3704.166667,Q54,05L,406580,288901,E01008909,E02001867,A1,E12000005,E08000025,-73,-0.007605883
B202BT,2016,527.5,Q54,05L,405512,289727,E01009355,E02001865,A1,E12000005,E08000025,39,-1.083536875
B202ES,2016,6165,Q54,05L,404970,290574,E01009265,E02001858,A1,E12000005,E08000025,-7,-1.69078303
B202HE,2016,691.4444444,Q54,05L,404806,290153,E01009270,E02001860,A1,E12000005,E08000025,106,-0.561528436
B202NR,2016,2017,Q54,05L,405039,291350,E01009262,E02006809,A1,E12000005,E08000025,107,-1.549129123
B202QR,2016,1688.416667,Q54,05L,405594,289625,E01009048,E02001866,A1,E12000005,E08000025,-41,-0.418290126
B203HE,2016,1352,Q54,05L,407424,290657,E01009053,E02001859,A1,E12000005,E08000025,10,0.115878484
B203QP,2016,790.5,Q54,05L,406153,290248,E01009059,E02001861,A1,E12000005,E08000025,-108,-0.674336336
B210HL,2016,2306.333333,Q54,05L,403606,289757,E01009354,E02001862,A1,E12000005,E08000025,-94,0.200204558
B210HR,2016,1189.666667,Q54,05L,403507,289612,E01009354,E02001862,A1,E12000005,E08000025,-94,-1.031684773
B219NH,2016,1284.916667,Q54,05L,404087,289720,E01009275,E02001865,A1,E12000005,E08000025,105,0.538817878
B219RY,2016,7041.75,Q54,05L,404513,289468,E01033635,E02001865,A1,E12000005,E08000025,-13,-0.689831258
B235DD,2016,3258.583333,Q54,13P,409281,293041,E01009121,E02001840,A1,E12000005,E08000025,30,-0.516443479
B235TJ,2016,797.0833333,Q54,13P,411724,292952,E01009003,E02001844,A1,E12000005,E08000025,-29,-0.601366122
B236DJ,2016,6611.833333,Q54,13P,409777,291788,E01009408,E02001852,A1,E12000005,E08000025,73,-1.253683819
B240SY,2016,20162.91667,Q54,13P,412777,291341,E01009098,E02001851,A1,E12000005,E08000025,-14,-0.851643337
B248RD,2016,1028.166667,Q54,13P,411042,290838,E01008999,E02001857,A1,E12000005,E08000025,36,0.331873287
B249JN,2016,3845.916667,Q54,13P,411494,292321,E01033632,E02001849,A1,E12000005,E08000025,54,-1.594760007
B258AA,2016,2726.833333,Q54,13P,412490,284975,E01008887,E02001904,A1,E12000005,E08000025,-49,-1.710668204
B258BY,2016,422,Q54,13P,411756,285041,E01008884,E02001904,A1,E12000005,E08000025,7,-0.284877273
B258TH,2016,989.4166667,Q54,13P,412859,285456,E01008881,E02001893,A1,E12000005,E08000025,-59,-0.891192268
B261AT,2016,722.3333333,Q54,13P,413267,285054,E01009521,E02001893,A1,E12000005,E08000025,-22,1.086059521
B261PE,2016,3470.75,Q54,05P,413502,284836,E01009313,E02001902,A1,E12000005,E08000025,74,-0.096203386
B262SB,2016,811.75,Q54,13P,414452,285633,E01009517,E02001888,A1,E12000005,E08000025,69,-0.712393669
B262TY,2016,909.3333333,Q54,13P,415064,285467,E01009322,E02001895,A1,E12000005,E08000025,-57,-0.098250543
B263JS,2016,1283.166667,Q54,05P,415364,283771,E01009319,E02001907,A1,E12000005,E08000025,35,0.473953665
B263SE,2016,646.4166667,Q54,04X,415083,284287,E01009319,E02001907,A1,E12000005,E08000025,35,1.119640769
B263TP,2016,3823.833333,Q54,05P,414994,284569,E01009315,E02001907,A1,E12000005,E08000025,-126,-0.925256986
B263TT,2016,785,Q54,13P,415213,284754,E01009317,E02001907,A1,E12000005,E08000025,-46,-0.644630485
B276QJ,2016,1533.5,Q54,13P,411697,283516,E01009029,E02001916,A1,E12000005,E08000025,121,0.045051749
B277AL,2016,2168,Q54,13P,412571,281631,E01010174,E02002093,A1,E12000005,E08000029,54,-1.17040209
B277XZ,2016,1273.916667,Q54,13P,412356,282958,E01009015,E02001915,A1,E12000005,E08000025,-61,-0.612545928
B280RF,2016,1268.416667,Q54,13P,410544,279624,E01009039,E02006807,A1,E12000005,E08000025,-48,0.167774898
B288BG,2016,8875.833333,Q54,13P,410313,282562,E01009045,E02001923,A1,E12000005,E08000025,-84,-1.921343015
B294HH,2016,2070.083333,Q54,13P,401872,280939,E01009494,E02001935,A1,E12000005,E08000025,-99,-0.781383172
B295HA,2016,1635.166667,Q54,04X,403032,282236,E01009294,E02001925,A1,E12000005,E08000025,80,-0.191693877
B295QD,2016,3100.166667,Q54,13P,402344,282185,E01009503,E02001927,A1,E12000005,E08000025,90,-1.012685543
B296JG,2016,1750.75,Q54,04X,404234,282255,E01009284,E02001922,A1,E12000005,E08000025,27,-0.835230353
B297BL,2016,883.5,Q54,04X,405033,283182,E01009288,E02001926,A1,E12000005,E08000025,127,-1.192668579
B297DU,2016,3085.583333,Q54,04X,404862,283080,E01033634,E02001922,A1,E12000005,E08000025,-79,-1.075756572
B297NT,2016,1611.333333,Q54,04X,405777,282901,E01009283,E02001905,A1,E12000005,E08000025,-107,-1.012084779
B301BY,2016,3030.583333,Q54,04X,404656,279723,E01008961,E02001942,A1,E12000005,E08000025,-4,-1.309757685
B301DH,2016,2705.083333,Q54,04X,404148,279733,E01008959,E02001942,A1,E12000005,E08000025,-32,-1.017736834
B301QN,2016,1800,Q54,13P,403332,280950,E01008950,E02001939,A1,E12000005,E08000025,105,0.123334861
B302AA,2016,609.25,Q54,04X,404643,281463,E01009281,E02001925,A1,E12000005,E08000025,121,-1.361548223
B302SH,2016,2029.666667,Q54,04X,405957,281676,E01008964,E02001933,A1,E12000005,E08000025,124,-1.348791785
B303QT,2016,488.0833333,Q54,13P,406093,278941,E01008979,E02001947,A1,E12000005,E08000025,16,-0.026255114
B311QT,2016,5503.5,Q54,13P,401744,279418,E01009499,E02001945,A1,E12000005,E08000025,-16,-0.675471358
B311TR,2016,1036.5,Q54,13P,401235,280373,E01008930,E02001932,A1,E12000005,E08000025,67,-1.035815711
B312DN,2016,1956.916667,Q54,13P,402891,279605,E01009218,E02001946,A1,E12000005,E08000025,-53,-0.257961544
B312HZ,2016,1997.666667,Q54,04X,402670,279136,E01009205,E02001946,A1,E12000005,E08000025,60,-0.852367936
B313HB,2016,1847.916667,Q54,04X,402681,278199,E01009210,E02001952,A1,E12000005,E08000025,6,-1.257296118
B314TU,2016,3162.666667,Q54,04X,402356,277192,E01009170,E02001957,A1,E12000005,E08000025,-42,-0.590121468
B315ER,2016,2931.666667,Q54,04X,400177,278441,E01009158,E02001955,A1,E12000005,E08000025,-17,-1.194203246
B322TJ,2016,3160.166667,Q54,13P,400769,284774,E01009251,E02001906,A1,E12000005,E08000025,-76,0.309512676
B323LE,2016,2430.75,Q54,13P,400409,282092,E01033629,E02001932,A1,E12000005,E08000025,11,-0.83636346
B323PR,2016,2040.5,Q54,13P,399890,282029,E01008923,E02001928,A1,E12000005,E08000025,0,-0.050027833
B323SD,2016,1688.5,Q54,13P,400680,282744,E01008918,E02001920,A1,E12000005,E08000025,-58,-1.759619041
B330NA,2016,282.8571429,Q54,13P,416382,286870,E01009302,E02001895,A1,E12000005,E08000025,-106,-2.368150836
B330SA,2016,1355.416667,Q54,13P,415249,285705,E01009322,E02001895,A1,E12000005,E08000025,-57,-0.642554248
B338NF,2016,848.4166667,Q54,13P,414460,286511,E01009514,E02001888,A1,E12000005,E08000025,-57,-0.494724316
B338TA,2016,4706,Q54,13P,412491,286693,E01009513,E02001892,A1,E12000005,E08000025,29,-0.785849646
B339EJ,2016,2414.166667,Q54,13P,414088,287702,E01009311,E02001880,A1,E12000005,E08000025,-77,0.173910502
B339SD,2016,720.8333333,Q54,13P,415016,287160,E01009300,E02001883,A1,E12000005,E08000025,19,0.258979443
B346BP,2016,1895.166667,Q54,13P,413684,288897,E01009087,E02001868,A1,E12000005,E08000025,108,0.26526141
B346RB,2016,978.25,Q54,13P,414639,288883,E01009307,E02001871,A1,E12000005,E08000025,-52,-0.918049372
B347BP,2016,3698.583333,Q54,13P,415177,288630,E01009309,E02001871,A1,E12000005,E08000025,94,-0.562362336
B356EE,2016,2483.75,Q54,13P,414075,291156,E01009101,E02001855,A1,E12000005,E08000025,32,-1.84574427
B357QX,2016,1539.416667,Q54,13P,414044,291014,E01009101,E02001855,A1,E12000005,E08000025,32,0.62868887
B360BU,2016,2102.25,Q54,05P,416528,289886,E01010119,E02002083,A1,E12000005,E08000029,-83,0.930909114
B360HH,2016,4020.666667,Q54,05P,416464,289307,E01010123,E02002083,A1,E12000005,E08000029,123,0.290742991
B360LF,2016,1201.833333,Q54,05P,416902,288892,E01010146,E02002084,A1,E12000005,E08000029,-42,-0.422116616
B360PU,2016,1834.083333,Q54,05P,417379,289306,E01010234,E02002084,A1,E12000005,E08000029,-54,-0.054122672
B368LR,2016,893.5,Q54,13P,413570,289842,E01009080,E02001864,A1,E12000005,E08000025,83,-0.784901257
B368ND,2016,1269.75,Q54,13P,413590,289421,E01009083,E02001864,A1,E12000005,E08000025,-7,-1.149281127
B369EJ,2016,1058.5,Q54,05P,415312,290176,E01010120,E02002081,A1,E12000005,E08000029,-5,0.90949988
B375BU,2016,3056.166667,Q54,05P,416829,286989,E01010142,E02002087,A1,E12000005,E08000029,114,0.422205236
B376BE,2016,2193.166667,Q54,05P,417221,288485,E01010145,E02002085,A1,E12000005,E08000029,59,0.797752637
B377WB,2016,3583.416667,Q54,05P,418588,286694,E01010130,E02002088,A1,E12000005,E08000029,84,0.394513715
B388AX,2016,1029.333333,Q54,04X,403251,277876,E01009112,E02001953,A1,E12000005,E08000025,56,-0.051567087
B388QS,2016,3390.75,Q54,04X,404808,278511,E01009119,E02001949,A1,E12000005,E08000025,-45,-0.878206883
B388RF,2016,802.1666667,Q54,04X,404278,278020,E01009108,E02001953,A1,E12000005,E08000025,83,-0.436081564
B388TE,2016,3091.416667,Q54,04X,404480,279109,E01009116,E02001953,A1,E12000005,E08000025,-126,-0.728804629
B389TJ,2016,1595.25,Q54,04X,404350,277493,E01009113,E02001954,A1,E12000005,E08000025,2,-1.470394495
B421BT,2016,5769.166667,Q54,05L,406118,292511,E01009238,E02001850,A1,E12000005,E08000025,-32,-0.221113146
B421TG,2016,3032.916667,Q54,05L,404733,294031,E01010011,E02002053,A1,E12000005,E08000028,-66,-0.467565393
B421TY,2016,2008,Q54,13P,406586,291983,E01009242,E02001850,A1,E12000005,E08000025,-52,-0.320596871
B436AA,2016,1969.916667,Q54,05L,404367,294207,E01009974,E02002048,A1,E12000005,E08000028,-11,0.494404826
B436BT,2016,762.75,Q54,05L,403965,294069,E01010012,E02002053,A1,E12000005,E08000028,27,-0.252518783
B436PA,2016,1020.5,Q54,05L,404693,294401,E01009974,E02002048,A1,E12000005,E08000028,-11,-0.023135675
B437DY,2016,437.75,Q54,05L,407010,295523,E01010358,E02002148,A1,E12000005,E08000030,48,-0.713765743
B437NF,2016,1758.333333,Q54,05Y,406646,295430,E01010358,E02002148,A1,E12000005,E08000030,48,0.467956538
B440DX,2016,911.6666667,Q54,13P,408503,293896,E01009134,E02001837,A1,E12000005,E08000025,-44,-1.473195032
B440HL,2016,3607.5,Q54,13P,408629,293219,E01009121,E02001840,A1,E12000005,E08000025,30,-1.484820037
B440NN,2016,1831.333333,Q54,13P,409269,294095,E01009132,E02001840,A1,E12000005,E08000025,127,0.141343998
B440PU,2016,162.5,Q54,13P,408378,293811,E01009134,E02001837,A1,E12000005,E08000025,-44,-2.316244078
B440UY,2016,1666.333333,Q54,13P,408128,295127,E01009221,E02001833,A1,E12000005,E08000025,-89,0.805687914
B448TU,2016,827.25,Q54,13P,407242,293864,E01009228,E02001839,A1,E12000005,E08000025,52,-1.710441149
B449ER,2016,4476.583333,Q54,13P,407160,294960,E01009222,E02001834,A1,E12000005,E08000025,111,-0.587796622
B449HW,2016,764.5833333,Q54,13P,407291,295212,E01009222,E02001834,A1,E12000005,E08000025,111,-1.379512945
B449SA,2016,490.8333333,Q54,13P,407843,293869,E01009226,E02001843,A1,E12000005,E08000025,117,2.252325976
B450EU,2016,1346.083333,Q54,04X,398964,278541,E01033633,E02001951,A1,E12000005,E08000025,21,-0.796888205
B458NF,2016,2236.416667,Q53,05J,400708,273548,E01032144,E02006701,C1,E12000005,E07000234,-115,-0.690634349
B459BU,2016,2912.583333,Q54,13P,399212,277124,E01009164,E02001956,A1,E12000005,E08000025,52,-0.805840215
B459HY,2016,1846.5,Q53,05J,398584,277141,E01032172,E02006698,A1,E12000005,E07000234,-81,-1.954176435
B459JT,2016,1765.583333,Q53,05J,398523,277148,E01032172,E02006698,A1,E12000005,E07000234,-81,-0.337419742
B461TH,2016,1266.166667,Q53,05H,417234,291101,E01031041,E02006473,D1,E12000005,E07000218,-58,0.341407952
B463LD,2016,3310.333333,Q53,05H,420002,288824,E01031021,E02006473,D1,E12000005,E07000218,25,0.304185804
B46HA,2016,314.25,Q54,05L,406945,287576,E01008914,E02001876,A1,E12000005,E08000025,-106,-1.345468264
B475DP,2016,2203.083333,Q53,05J,408117,276845,E01032135,E02006699,A1,E12000005,E07000234,-35,-1.015616712
B476ET,2016,1578.083333,Q53,05J,409011,275557,E01032177,E02006700,A1,E12000005,E07000234,-36,-1.722991162
B47TA,2016,3710.75,Q54,05L,407220,286890,E01033620,E02006899,A1,E12000005,E08000025,73,-1.407509568
B496QR,2016,3531.5,Q53,05R,409567,257824,E01031186,E02006509,D1,E12000005,E07000221,-28,0.644224965
B504LX,2016,3716.25,Q53,05R,411385,252627,E01031192,E02006515,F1,E12000005,E07000221,109,0.710774383
B57LX,2016,2714.75,Q54,04X,406833,285277,E01008995,E02006895,A1,E12000005,E08000025,92,-1.859256618
B602JS,2016,4239.75,Q53,05J,396261,270280,E01032158,E02006707,C1,E12000005,E07000234,-14,-0.505222972
B610AZ,2016,8646.166667,Q53,05J,396027,271059,E01032156,E02006706,C1,E12000005,E07000234,96,-0.939237747
B610DD,2016,2934.916667,Q53,05J,396320,271211,E01032157,E02006706,C1,E12000005,E07000234,118,-0.671878448
B610PU,2016,1709.75,Q53,05J,396390,274285,E01032129,E02006702,C1,E12000005,E07000234,-27,-0.159195883
B620HP,2016,2283.416667,Q54,05C,398998,284528,E01009800,E02002035,A1,E12000005,E08000027,4,0.007432151
B629DR,2016,3006.666667,Q54,05C,398176,285486,E01009793,E02002029,A1,E12000005,E08000027,60,-0.840383086
B629LR,2016,1129.833333,Q54,05C,397798,286016,E01009795,E02002025,A1,E12000005,E08000027,-69,-0.472614738
B631AB,2016,2471.75,Q54,05C,395250,283183,E01009807,E02002042,A1,E12000005,E08000027,48,0.218750882
B632DH,2016,497.4166667,Q54,05C,394607,284504,E01009861,E02002032,A1,E12000005,E08000027,-100,-0.079988633
B633HN,2016,2168.25,Q54,05C,396752,283459,E01009733,E02002038,A1,E12000005,E08000027,27,0.037811798
B633UH,2016,840.8333333,Q54,05C,395814,284011,E01009737,E02002033,A1,E12000005,E08000027,88,0.187749411
B634WD,2016,3195.833333,Q54,05C,396077,282899,E01009799,E02002038,A1,E12000005,E08000027,-12,0.755108242
B646JE,2016,2085,Q54,05L,395576,286348,E01009956,E02002077,A1,E12000005,E08000028,33,0.191078687
B646JN,2016,634.9166667,Q54,05L,395649,286263,E01009956,E02002077,A1,E12000005,E08000028,33,1.65965746
B647HG,2016,1894.5,Q54,05L,395115,285381,E01009954,E02002080,A1,E12000005,E08000028,-104,0.170909745
B650BA,2016,5069.833333,Q54,05L,397075,286359,E01009932,E02002075,A1,E12000005,E08000028,119,0.555458505
B659AF,2016,1399,Q54,05L,396735,287601,E01010038,E02002071,A1,E12000005,E08000028,-113,0.201212533
B65HA,2016,2231.166667,Q54,05L,407113,289423,E01033628,E02001867,A1,E12000005,E08000025,84,-0.036508343
B65HP,2016,1566.25,Q54,05L,407817,289327,E01008901,E02001863,A1,E12000005,E08000025,-46,-1.050473833
B65UP,2016,1425.833333,Q54,05L,408566,289498,E01008901,E02001863,A1,E12000005,E08000025,-46,0.353062017
B661HB,2016,2454.666667,Q54,05L,400875,289209,E01010053,E02002065,A1,E12000005,E08000028,-122,-0.338540022
B662DD,2016,1176.833333,Q54,05L,402319,289290,E01010046,E02002065,A1,E12000005,E08000028,-97,-0.08169114
B663BQ,2016,3059.666667,Q54,05L,402261,288553,E01010062,E02002068,A1,E12000005,E08000028,44,-0.275733763
B663NR,2016,3968.583333,Q54,13P,403203,287833,E01010065,E02002068,A1,E12000005,E08000028,63,-1.185179993
B663PZ,2016,2955,Q54,05L,402804,287980,E01010064,E02002068,A1,E12000005,E08000028,-3,-0.755650495
B664ES,2016,743.9166667,Q54,05L,402174,287134,E01009928,E02002076,A1,E12000005,E08000028,-28,0.371993461
B66BB,2016,4344.083333,Q54,05L,406943,289702,E01033628,E02001867,A1,E12000005,E08000025,84,-0.545359708
B66JY,2016,2683.583333,Q54,05L,407456,289823,E01033636,E02001863,A1,E12000005,E08000025,-24,-0.290756384
B675BP,2016,1419.583333,Q54,05L,401901,286553,E01009921,E02002076,A1,E12000005,E08000028,83,-0.596986651
B676AJ,2016,1141.166667,Q54,05L,402107,288044,E01010055,E02002070,A1,E12000005,E08000028,-91,-1.637264995
B677LU,2016,1264.416667,Q54,05L,401162,289102,E01010047,E02002065,A1,E12000005,E08000028,51,0.064909402
B677NA,2016,670.9166667,Q54,05L,400933,289117,E01010053,E02002065,A1,E12000005,E08000028,-122,0.989782059
B680DJ,2016,649.75,Q54,13P,400446,285124,E01010023,E02002079,A1,E12000005,E08000028,-47,-0.084726838
B680RT,2016,3795.5,Q54,05L,399638,285576,E01010028,E02002079,A1,E12000005,E08000028,41,-0.806454958
B688JB,2016,1054.25,Q54,05L,400118,288465,E01010021,E02002066,A1,E12000005,E08000028,104,-0.502961238
B688LJ,2016,741.75,Q54,05L,399099,287405,E01010006,E02002072,A1,E12000005,E08000028,-123,0.023457282
B689DU,2016,3603.666667,Q54,05L,400221,286729,E01009939,E02002074,A1,E12000005,E08000028,81,-1.296484309
B689LZ,2016,610.9166667,Q54,05L,400386,287986,E01009941,E02002074,A1,E12000005,E08000028,-18,0.474810618
B689SZ,2016,1071.333333,Q54,05L,400523,288031,E01010020,E02002066,A1,E12000005,E08000028,23,-1.050879838
B691EJ,2016,2544.083333,Q54,05L,397729,288358,E01009934,E02002069,A1,E12000005,E08000028,124,0.605465897
B691HE,2016,1215.583333,Q54,05L,398054,288866,E01010080,E02002064,A1,E12000005,E08000028,-45,-0.750078413
B691RZ,2016,3866.166667,Q54,05L,396143,289617,E01010083,E02002064,A1,E12000005,E08000028,-54,-0.515899334
B692LD,2016,748.25,Q54,05L,396042,290591,E01010016,E02002063,A1,E12000005,E08000028,57,-1.351674153
B694DE,2016,6088.25,Q54,05L,399138,289536,E01010017,E02002066,A1,E12000005,E08000028,41,-1.078210826
B700BF,2016,1426.5,Q54,05L,398182,292256,E01009981,E02002060,A1,E12000005,E08000028,106,-1.115164897
B700HN,2016,1025.833333,Q54,05L,399231,293229,E01010094,E02002055,A1,E12000005,E08000028,-62,0.456472833
B700PU,2016,1382.583333,Q54,05L,399333,293151,E01010094,E02002055,A1,E12000005,E08000028,-62,0.214363384
